id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
epc,eupolicycentre,European Policy Centre,1,,,,,,,,,,,,
aca,advisorycommitee,Advisory Commitee Asylos,1,,,,,,,,,,,,
dfg,vereinigungdeutschfranzoesischegesellschaft,Kuratorium Vereinigung Deutsch-Französischer Gesellschaften für Europa e.V.,1,,,,,,,,,,,,
twfe,tuwaseu,TuWas für Europa e.V.,1,,,,,,,,,,,,
iep,insitutpolitikeuropa,Institut für Europäische Politik e.V.,1,,,,,,,,,,,,
ebd,bewegungeuropaeisch,Europäische Bewegung Deutschland e.V.,1,,,,,,,,,,,,
abhia,humanityactionev,Advisory Board Humanity in Action e.V.,1,,,,,,,,,,,,
botfoe,friendsofeurope,Board of Trustees Friends of Europe,1,,,,,,,,,,,,
dfi,insitutdeutschfranzoesischev,Deutsch-französisches Insitut e.V.,1,,,,,,,,,,,,
spo,sciencepo,Verwaltungshochschule Science Po,1,,,,,,,,,,,,
cspi,newyork,"Columbia University’s School of Public and International Affairs (SIPA), New York",1,,,,,,,,,,,,
ua,ausschussuntersuchung,3. Untersuchungsausschuss: Wirecard-Affäre,1,,,,,,,,,,,,
fia,ausschussfinanzen,Finanzausschuss,1,,,,,,,,,,,,
ar,alterrat,Der Ältestenrat,1,,,,,,,,,,,,
ga,ausschussgemeinsam,Gemeinsamer Ausschuss,1,,,,,,,,,,,,
aih,ausschussinneres,Ausschuss für Inneres und Heimat,1,,,,,,,,,,,,
wa,ausschusswahl,Wahlausschuss,1,,,,,,,,,,,,
va,ausschussvermittlung,Vermittlungsausschuss,1,,,,,,,,,,,,
awig,ausschusswahlpruefung,"Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung",1,,,,,,,,,,,,
fbl,freshfields,"Freshfields Bruckhaus Deringer LLP, London",1,,,,,,,,,,,,
rs,rechtsanwalt,Rechtsanwalt,1,,,,,,,,,,,,
ass,anwaltservice,"AnwaltService Stuttgart GmbH, Stuttgart",1,,,,,,,,,,,,
arbf,fortbildung,Fortbildung „Aktuelle Regulierung von Banken und Finanzdienstleistern,1,,,,,,,,,,,,
kfw,kreditanstalt,"Kreditanstalt für Wiederaufbau (KfW), Frankfurt",1,,,,,,,,,,,,
vwr,verwaltungsrat,Verwaltungsrat,1,,,,,,,,,,,,
gzs,gesellschaftstudium,"Gesellschaft zum Studium strukturpolitischer Fragen e.v., Berlin",1,,,,,,,,,,,,
bfi,beiratfinanzen,Beirat Finanzen,1,,,,,,,,,,,,
gwd,grundwehrdienst,Grundwehrdienst beim Fernmelderegiment 220,1,,,,,,,,,,,,
lfa,landesfachausschuss,Landesfachausschuss (LFA) Innen und Recht der FDP Baden-Württemberg,1,,,,,,,,,,,,
fmg,finanzmarktgremium,Finanzmarktgremium,1,,,,,,,,,,,,
ur,uniregensburg,Universität Regensburg,1,,,,,,,,,,,,
uc,unicambridge,Universität Cambridge,1,,,,,,,,,,,,
uh,uniheidelberg,Universität Heidelberg,1,,,,,,,,,,,,
ut,unituebingen,Eberhard-Karls-Universität Tübingen,1,,,,,,,,,,,,
fdpb,fdpbezirksvorstand,FDP Bezirksvorstand der Region Stuttgart,1,,,,,,,,,,,,
kboe,kreisverbandboeb,FDP-Kreisverband Böblingen,1,,,,,,,,,,,,
krboe,kreisratboeb,Kreisrat im Landkreis Böblingen,1,,,,,,,,,,,,
rwas,richterwahlausschuss,Richterwahlausschuss,1,,,,,,,,,,,,
vdfg,vereinderfreunde,Verein der Freunde des Goldberg-Gymnasiums Sindelfingen,1,,,,,,,,,,,,
sca,collegeassociation,Selwyn College Association Cambridge,1,,,,,,,,,,,,
lgs,literarischegesellschaft,Literarische Gesellschaft Scheffelbund,1,,,,,,,,,,,,
dlrg,dlrg,Deutsche-Lebens-Rettungs-Gesellschaft,1,,,,,,,,,,,,
dag,deutschatlantischegesellschaft,Deutsch-Atlantische Gesellschaft,1,,,,,,,,,,,,
dig,deutschisaelischegesellschaft,Deutsch-Israelische Gesellschaft,1,,,,,,,,,,,,
helpev,helpev,help e.V. ,1,,,,,,,,,,,,
avr,alumnivereinheidelberg,Alumniverein der Ruprecht-Karls-Universität Heidelberg,1,,,,,,,,,,,,
vdfr,vereinderfreunderegensburg,Verein der Freunde der Universität Regensburg,1,,,,,,,,,,,,
reaus,rechtsausschuss,Rechtsausschuss,1,,,,,,,,,,,,
parlbei,parlamentarischerbeirat,Parlamentarischer Beirat für nachhaltige Entwicklung,1,,,,,,,,,,,,
stabmechg,stabmechg,Gremium gemäß § 3 des Stabilisierungsmechanismusgesetzes (StabMechG),1,,,,,,,,,,,,
pm,paramount,"Paramount Group Inc., New York",1,,,,,,,,,,,,
flug,zweckverbandflugfeld,Zweckverband Flugfeld Böblingen/Sindelfingen,1,,,,,,,,,,,,
muell,restmuellheizkraftwerk,Zweckvrband Restmüllheizkraftwerk Böblingen,1,,,,,,,,,,,,
ha,hauptausschuss,Hauptausschuss,1,,,,,,,,,,,,
uf,unifreiburg,Universität Freiburg im Breigau,1,,,,,,,,,,,,
uz,unizuerich,Universität Zürich,1,,,,,,,,,,,,
buk,beratung,Beratung und Kommunikation für Karin Rehbock-Zureich,0,,,,,,,,,,,,
staatunn,staatssekretaerinumwelt,"Parlamentarische Staatssekretärin bei der Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
spd,spd,Sozialdemokratische Partei,1,,,,,,,,,,,,
spdk,spdkreisverband,Vorsitzende des SPD-Kreisverbands Waldshut,1,,,,,,,,,,,,
gr,gemeinderat,Gemeinderat in Lauchringen,1,,,,,,,,,,,,
regiov,regionalverband,Regionalverband Hochrhein-Bodensee,1,,,,,,,,,,,,
kwa,kreistagwaldshut,Kreistag Landkreis Waldshut,1,,,,,,,,,,,,
verdi,verdi,ver.di,1,,,,,,,,,,,,
gver,gegenvergessen,Gegen Vergessen Für Demokratie e.V.,1,,,,,,,,,,,,
eusol,eurosolare,EUROSOLARE Europäische Vereinigung für Erneuerbare Energien e.V.,1,,,,,,,,,,,,
klar,klar,KLAR - Kein Leben mit atomaren Risiken,1,,,,,,,,,,,,
hsz,hospizdienst,Hospizdienst e.V.,1,,,,,,,,,,,,
grs,gesellschaftreaktorsicherheit,"Geselllschaft für Anlagen- und Reaktorsicherheit (GRS) mbH, Köln",1,,,,,,,,,,,,
dbu,umweltstiftung,"Deutsche Bundesstiftung Umwelt (DBU), Osnabrück",1,,,,,,,,,,,,
wspd,wirtschaftsforum,"Wirtschaftsforum der SPD e.V., Berlin",1,,,,,,,,,,,,
awo,arbeiterwohlfahrt,Arbeiterwohlfahrt,1,,,,,,,,,,,,
asf,arbeitsgemeinschaftfrau,Arbeitsgemeinschaft sozialdemokratischer Frauen,1,,,,,,,,,,,,
awut,ausschusswirtschaft,Ausschuss für Wirtschaft und Technologie,1,,,,,,,,,,,,
avbs,ausschussverkehr,"Ausschuss für Verkehr, Bau und Stadtentwicklung",1,,,,,,,,,,,,
uk,unikarlsruhe,Karlsruher Institut für Technologie,1,,,,,,,,,,,,
lau,landesanstaltumweltschutz,Zivildienst an der Landesanstalt für Umweltschutz Baden-Württemberg,1,,,,,,,,,,,,
gj,gruenejugend,Grüne Jugend Rheinland-Pfalz,1,,,,,,,,,,,,
kvg,kreisverbandgermersheim,Kreisverband Germersheim,1,,,,,,,,,,,,
svw,stadtverbandwoerth,Stadtverband Wörth am Rhein,1,,,,,,,,,,,,
srw,stadtratwoerth,Stadtrat Wörth am Rhein,1,,,,,,,,,,,,
grp,vorstandgruene,Landesgruppe der Grünen Bundestagsabgeordneten Rheinland-Pfalz,1,,,,,,,,,,,,
vaus,verteidigungsausschuss,Verteidigungsausschuss ,1,,,,,,,,,,,,
rpa,rechnungspruefung,Rechnungsprüfungsausschuss,1,,,,,,,,,,,,
vg,vertrauensgremium,Vertrauensgremium,1,,,,,,,,,,,,
nato,parlamentarischeversammlungnato,Parlamentarische Versammlung der NATO,1,,,,,,,,,,,,
diparl,deutschirischeparlamentarier,Deutsch-Irische Parlamentariergruppe,1,,,,,,,,,,,,
rbg,rolandbergergmbh,Roland Berger GmbH,1,,,,,,,,,,,,
hs,hectorschool,Hector School of Engineering and Management,1,,,,,,,,,,,,
owg,ostfriesischewinzer,Ostfriesische Winzergenossenschaft eG i.G.,1,,,,,,,,,,,,
bfim,bundesanstaltimmo, Bundesanstalt für Immobilienaufgaben,1,,,,,,,,,,,,
eud,europauniondeutschland,Europa-Union Deutschland e.V.,1,,,,,,,,,,,,
mdw,kuratoriumgenerationen,Kuratorium Mehrgenerationenhaus der Stadt Wörth am Rhein,1,,,,,,,,,,,,
zvs,zweckverbandabfall,Mitglied im Zweckverband Abfallverwertung Südwestpfalz,1,,,,,,,,,,,,
aif,agindustrielleforschung,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,,,,,,,,,,,,
dgf,deutschgeorgischesforum,"Deutsch-Georgisches Forum für Politik, Wissenschaft und Kultur e.V.",1,,,,,,,,,,,,
ghd,givadhaviva,Freundeskreis Givat Haviva Deutschland e.V.,1,,,,,,,,,,,,
difg,industrieforschung,Senatsmitglied Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,,,,,,,,,,,,
juli,jungeliberale,Junge Liberale,1,,,,,,,,,,,,
uko,unikonstanz,Universität Konstanz,1,,,,,,,,,,,,
lgst,landgerichtstuttgart,Landgericht Stuttgart,1,,,,,,,,,,,,
nsu,ausschussnsuuntersuchung,Berater für NSU-Untersuchungsausschuss Landtag Baden-Württemberg,1,,,,,,,,,,,,
fdpr,fdpravensburg,FDP Ravensburg,1,,,,,,,,,,,,
gmb,gemeindeberg,Gemeinderat Gemeinde Berg,1,,,,,,,,,,,,
ktr,kreistagravensburg,Kreistag Ravensburg,1,,,,,,,,,,,,
gzf,gremiumzollfahndungsgesetz,Gremium Zollfahndungsgesetz,1,,,,,,,,,,,,
msu,mittelstandunternehmensyndikus,Syndikusrechtsanwalt Mittelständisches Unternehmen,1,,,,,,,,,,,,
lhp,lhpgesellschaft,LHP Dienstleistungs- und Bildungssellschaft GmbH,1,,,,,,,,,,,,
bmuv,bundesmusikverband,Bundesmusikverband Chor und Orchester e.V.,1,,,,,,,,,,,,
zfs,zukunftsforumsicherheit,Zukunftsforum öffentliche Sicherheit e.V.,1,,,,,,,,,,,,
ai,amnestyinternational,Amnesty International,1,,,,,,,,,,,,
brb,blutreiterberg,Blutreitergruppe Berg,1,,,,,,,,,,,,
kcp,kirchenchorpeterpaul,Kirchenchor St. Peter und Paul ,1,,,,,,,,,,,,
efh,evfachhochschulereutlingen,Evangelische Fachhochschule für Sozialwesen Reutlingen,1,,,,,,,,,,,,
ajc,americanjewishcommittee,American Jewish Committee,1,,,,,,,,,,,,
dtf,deutschtuerkischesforum,Kuratorium des Deutsch-Türkischen Forum Stuttgart e.V.,1,,,,,,,,,,,,
ths,theodorheussstiftung,Kuratorium der Theodor-Heuss-Stiftung,1,,,,,,,,,,,,
vea,ausschussverkehr,Ausschuss für Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
bmw,bundesverbandwirtschaft,Bundesverband Mittelständische Wirtschaft,1,,,,,,,,,,,,
ubv,ullsteinbuchverlagegmbh,Ullstein Buchverlage GmbH,1,,,,,,,,,,,,
csl,celebrityspeakerslimited,Celebrity Speakers Limited,1,,,,,,,,,,,,
drh,personalberatungdrheimeier,Dr. Heimeier & Partner Management- und Personalberatung GmbH,1,,,,,,,,,,,,
ey,ernstyoungwirtschaft,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,1,,,,,,,,,,,,
im,immoebs,IMMOEBS e.V.,1,,,,,,,,,,,,
siaf,schweizerischesinstitut,Schweizerisches Institut für Auslandsforschung,1,,,,,,,,,,,,
tn,tapestrynetworks,Tapestry Networks,1,,,,,,,,,,,,
tlsb,thelondonspeakerbureau,The London Speaker Bureau,1,,,,,,,,,,,,
agvs,agoraverkehrswende,Agora Verkehrswende Smart Energy for Europe Plattform,1,,,,,,,,,,,,
dsgi,deutschlandstiftung,Deutschlandstiftung Integration gemeinnützige GmbH,1,,,,,,,,,,,,
ssg,startstiftunggemeinnuetzig,Start-Stiftung gemeinnützige GmbH,1,,,,,,,,,,,,
ifm,institutmobilitaet,Institut für Mobilität der Universität St. Gallen,1,,,,,,,,,,,,
iff,institutfreedom,Institute for Freedom of Faith & Security in Europe,1,,,,,,,,,,,,
ai,atlantischeinitiative,Atlantische Initiative e.V.,1,,,,,,,,,,,,
as,avicennastudienwerk,Avicenna-Studienwerk e.V.,1,,,,,,,,,,,,
dpz,progressiveszentrum,Das Progressive Zentrum e.V.,1,,,,,,,,,,,,
fc,fcplayfair,FC Play Fair! Verein für Integrität und Nachhaltigkeit im Fußball e.V.,1,,,,,,,,,,,,
ikw,ichkannwasinitiative,Ich kann was!-Initiative für Kinder und Jugendliche e.V.,1,,,,,,,,,,,,
sgf,stiftunggedenkenfrieden,Stiftung Gedenken und Frieden,1,,,,,,,,,,,,
snv,stiftungneueverantwortung,Stiftung Neue Verantwortung e.V.,1,,,,,,,,,,,,
sbe,stiftungbildung,Stiftung: Bildung Egitim!,1,,,,,,,,,,,,
tdsa,tuerkischdeutscheplattform,Türkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,,,,,,,,,,,,
wwl,wirtschaftwestfalen,Wirtschaftliche Gesellschaft für Westfalen und Lippe e.V.,1,,,,,,,,,,,,
zdf,zdffernsehrat,ZDF Fernsehrat,1,,,,,,,,,,,,
aw,ausschusswirtschaft,Ausschuss für Wirtschaft und Energie,1,,,,,,,,,,,,
af,aktionfahrrad,AKTIONfahrRAD,1,,,,,,,,,,,,
fdp,fdp,Freie Demokratische Partei,1,,,,,,,,,,,,
hka,haushaltskontrollausschuss,Haushalt-Kontrollausschuss,1,,,,,,,,,,,,
vrn,verbandsversammlung,Verbandsversammlung Regionalverband Nordschwarzwald,1,,,,,,,,,,,,
rms,reinholdmaierstiftung,Reinhold-Maier-Stiftung,1,,,,,,,,,,,,
wds,wolfgangdoeringstiftung,Wolfgang-Döring-Stiftung,1,,,,,,,,,,,,
dhbw,dualehochschulebw,Duale Hochschule Baden-Württemberg,1,,,,,,,,,,,,
sdv,staatsekretariatdigitalverkehr,Staatsekretariat für Digitales und Verkehrs,1,,,,,,,,,,,,
aas,ausschussarbeit,Ausschuss für Arbeit und Soziales,1,,,,,,,,,,,,
aft,ausschusstourismus,Ausschuss für Tourismus,1,,,,,,,,,,,,
afg,ausschussgesundheit,Ausschuss für Gesundheit,1,,,,,,,,,,,,
iks,konferenzstabilitaet,"Interparlamentarische Konferenz über Stabilität, wirtschaftspolitische Koordinierung und Steuerung in der EU",1,,,,,,,,,,,,
cnet,communicationsnetworkconsulting,Communications & Network Consulting AG,1,,,,,,,,,,,,
leuco,leucoag,Leuco AG,1,,,,,,,,,,,,
ksk,kreissparkassfreudenstadt,Kreisparkkasse Freudenstadt,1,,,,,,,,,,,,
lbank,landeskreditbankbw,Landeskreditbank Baden-Württemberg,1,,,,,,,,,,,,
bb,badenbadenunternehmer,Baden-Badener Unternehmer Gespräche e.V.,1,,,,,,,,,,,,
dk,deutscheskomiteederaiesec,Deutsches Komitee der AIESEC e.V.,1,,,,,,,,,,,,
idi,initiativeinfrastruktur,Initiative Deutsche Infrastruktur e.V.,1,,,,,,,,,,,,
wcd,wirtschaftsclub,Wirtschaftspolitischer Club Deutschland e.V.,1,,,,,,,,,,,,
twf,twfmetallbearbeitung,TWF Metallbearbeitungs Holding UG,1,,,,,,,,,,,,
fdpsr,fdpstadtrat,FDP/Freie Wähler Stadtratsfunktion,1,,,,,,,,,,,,
fdpkt,fdpkreistag,FDP-Kreistagsfraktion,1,,,,,,,,,,,,
ltbw,landtagbw,Landtag Baden-Württemberg,1,,,,,,,,,,,,
prfdp,praesidiumfdp,Präsidium der FDP-Bundespartei,1,,,,,,,,,,,,
lvfdp,landesvorstandfdp,Landesvorstand Baden-Württemberg der FDP,1,,,,,,,,,,,,
abau,ausschussbau,"Ausschuss für Bau, Wohnen, Stadtentwicklung und Kommunen",1,,,,,,,,,,,,
afu,ausschussumwelt,"Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
lvg,landesvorstandbawuegruene,Landesvorstand Baden-Württemberg der Grünen,1,,,,,,,,,,,,
prsb,prostadtbahnregio,Pro RegioStadtbahn e.V,1,,,,,,,,,,,,
vbwo,verbandwohneigentum,Verband Wohneigentum e.V,1,,,,,,,,,,,,
afk,ausschusskulturmedien,Ausschuss Kultur und Medien,1,,,,,,,,,,,,
ife,initiativeenergieeffizienz,Deutsche Unternehmensinitiative Energieeffizienz e.V. (DENEFF),1,,,,,,,,,,,,
bfb,stiftungbaukultur,Bundesstiftung Baukultur,1,,,,,,,,,,,,
mbwh,bundestagsabgeordneterhermann,Mitarbeiter des Bundestagsabgeordneten Winne Hermann,0,,,,,,,,,,,,
mver,mitarbeitverwaltung,Verwaltung der Fakultät für Wirtschaftswissenschaften der Uni Tübingen,1,,,,,,,,,,,,
afkoa,koalitioausschuss,Koalitionsausschuss,1,,,,,,,,,,,,
seco,graduateschoolofeconomic,Graduate School of Economic and Social Sciences,1,,,,,,,,,,,,
shf,stiftunghirschfeld,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
aids,stiftungaids,Deutsche AIDS-Stiftung,1,,,,,,,,,,,,
ecoc,economyclub,Young Economy Club e.V.,1,,,,,,,,,,,,
vphev,privatehochschule,Verband der privaten Hochschulen e.V.,1,,,,,,,,,,,,
lisl,liberaleschwules,Liberale Schwule und Lesben (LiSL) Deutschland e.V.,1,,,,,,,,,,,,
dsw,studentenwerk,Deutsches Studentenwerk e.V. (DSW),1,,,,,,,,,,,,
afbi,ausschussbildung,Ausschuss für Bildung,1,,,,,,,,,,,,
kbda,kommissionberuflichebildung,Kommission Berufliche Bildung in der digitalen Arbeitswelt,1,,,,,,,,,,,,
